epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9389298558235168,0.18581531941890717,1e-05,0.939429521560669,0.17474842071533203
1,0.939530611038208,0.17603106796741486,2.3333334e-05,0.9405705332756042,0.17033423483371735
2,0.9399880766868591,0.17295078933238983,3.6666668e-05,0.9405924081802368,0.16895179450511932
3,0.9400503635406494,0.1710587739944458,5e-05,0.9404147863388062,0.1692468822002411
4,0.9406803250312805,0.1668872833251953,4e-05,0.9406571984291077,0.16855789721012115
5,0.9413599371910095,0.16316162049770355,3.2e-05,0.9406025409698486,0.1674407422542572
6,0.9421097636222839,0.16004712879657745,2.56e-05,0.9408947229385376,0.1660025417804718
7,0.9426193237304688,0.15709316730499268,2.048e-05,0.9408465027809143,0.16578863561153412
8,0.942848801612854,0.1562773436307907,1.6384e-05,0.9405648708343506,0.16569699347019196
9,0.9436939358711243,0.1533508151769638,1.31072e-05,0.9409112334251404,0.16399335861206055
9,0.9435783624649048,0.15354549884796143,1.31072e-05,0.940673828125,0.164881631731987
